"X","Y"
150.4,105.5
145.3,147.5
129.5,142.2
151.7,144.5
134,122.6
154.5,134.6
121.4,132.4
137.9,140
137.8,123.9
154.4,129.7
144.8,133.9
144.3,132.5
122.9,137.2
162.2,123.6
148.7,136.3
151.7,129.6
108.2,121.2
146.4,138.8
149.2,120
153,151.6
140.6,137.8
138.5,125.5
133.1,147.8
126.4,147.2
155,141.8
122.1,130.2
142.9,138.2
141.8,130.9
144.8,149.6
150.8,144.1
142.6,135
138.7,134.5
153.9,168.2
114.3,145.9
137.8,144.1
150.9,134.7
127.1,154.7
141.9,150.3
149.3,131.7
135,146
135,141.3
124.4,131.3
136.6,117.5
156.7,108.3
122.2,109.2
127.2,122.3
161.2,117
139.9,130.6
139.8,116.4
128.1,122
120.2,142.7
153.3,131.1
152.2,140.5
140.7,145.7
132.2,129.7
141.7,120.1
151.8,128.2
147.7,142.5
143.8,146.1
151.5,130.6
152.3,96
136,136.9
128,124.3
147,141.4
115.2,127.7
,154.7
,127.7
