"X","Y"
119.1,81.5
112.9,76.1
116.4,83
115,82.8
118.5,85.2
120.7,81.9
119.1,82.1
114.6,80.6
110.9,78.7
110.9,82.3
109.8,78.4
111.5,78.5
110.5,79.1
125.7,79.4
120.2,83.9
114.4,79
122.9,81.3
116,79.7
119.5,78.5
122.9,86.1
115.1,83.6
117.9,76.3
122.7,78.7
117.9,82
117.2,81.1
116.5,81.2
118.6,85
121.9,79.1
117.6,81.4
116.6,83.9
113.6,78.8
122.1,86.9
119.9,85.4
117.1,81
113.6,82.8
123.4,88.3
124.7,82.9
119.1,76.8
117.8,79.8
119.3,81.1
116.7,80.9
115.3,77.8
122.4,80.7
112.9,79.4
115,74.4
122.6,84.1
116.9,81.6
122.4,81
115.4,81.5
122.5,85.9
116.1,78.8
119.7,85.3
118.4,82.7
115.2,79
115.5,82.8
123.1,85.2
114.2,76.8
120.2,82.2
116.8,83.4
121.6,84.8
120.1,81.1
125.3,83.9
116.8,86.2
118.5,80
124.5,84.8
119.5,86.6
117.4,79.1
119.8,82.9
122.5,84.4
118.9,81.8
118.3,80.4
122.4,82.3
123.7,79.8
123.8,82.8
110.5,74.2
120,84.6
115.6,79.4
123.7,82.6
124.7,77.9
120.3,79.5
118.5,78.6
117.7,78.2
121.9,82.3
119.3,75.1
121.8,84.4
119,79.4
112.8,78.8
112.7,76
121.7,81.6
116.8,79.5
121.4,83.8
120.1,78.6
113.2,85.2
120.4,82.7
115.1,82.6
117.1,82.3
118.1,82.1
109,77
117.6,77.8
119.8,80.9
118.6,80
118,81.7
116.3,76.4
114.3,80.4
113,81.7
116.2,81.5
120.2,82.3
